Português,Inglês
Eu entendo.,I understand.
Ouça.,Listen.
Chega!,He arrives!
Hey.,Hey.
Acabou.,He finished.
Pare com isso.,Stop this.
"Oh, não.",Oh no.
Não faça isso.,Don't do that.
Cale-se!,Shut up!
Quando?,When?
Parem!,Stop!
E agora?,And now?
Saúde.,Health.
Até mais.,Until later.
Claro que sim.,Of course.
Qual é o problema?,What is the problem?
Onde ele está?,Where is he?
Como você está?,How are you?
Como está?,How are you?
"Não, senhor.",No sir.
Beleza.,Beauty.
Está certo.,It is true.
E aí?,And there?
O que é isto?,What is this?
Como é?,How it is?
O que você acha?,What do you think?
"Vamos, vamos.",C'mon C'mon.
Você sabe.,You know.
O que acha?,What do you think?
"Oh, Deus.",Oh God.
Tenho que ir.,I have to go.
Pois é.,So it is.
Perdão.,Forgiveness.
Minha nossa!,Oh my!
Vão!,They go!
Não entendo.,I don't understand.
Escute.,Listen.
Bom trabalho.,Good job.
O que foi isso?,What was this?
Quê?,What?
Eu vou.,I go.
Querida.,Dear.
Já chega.,Enough.
E então?,And then?
Esperem.,Wait.
Estou indo.,I am going.
Onde você está?,Where are you?
Cara.,Face.
Tome.,Take.
Excelente.,Great.
Olhe para mim.,Look at me.
"Ah, sim.",Oh yes.
Okay.,Okay.
Fogo!,Fire!
Isso é bom.,That is good.
Espere um pouco.,Wait one moment.
Não acredito.,I don't believe.
Só isso.,Just that.
De jeito nenhum.,No way.
Sam!,Sam!
Jack!,Jack!
Esqueça.,Forget.
Tudo.,All.
Exato.,Exactly.
Tem razão.,You're right.
Vamos embora.,Let's go.
Para quê?,For what?
Maldição!,Curse!
Porquê?,Why?
Onde está?,Where is it?
Você também.,You too.
Amém.,Amen.
O que faz aqui?,Why are you here?
Sei.,Know.
O que você fez?,What did you do?
Graças a Deus.,Thank God.
"Sim, eu sei.",Yes I know.
Acalme-se.,Calm down.
Muito obrigada.,Thank you very much.
Levante-se.,Stand up.
Vá embora.,Go away.
Para trás!,Back!
Qual o problema?,What's the problem?
Venha cá.,Come here.
É ele.,It's him.
Foda-se!,Screw this!
"Oh, sim.",Oh yeah.
Yeah.,Yeah.
Saia daqui!,Get out of here!
Idiota!,Idiot!
Ninguém.,Nobody.
Está.,It is.
Um...,One...
Venha comigo.,Come with me.
Diga.,Say.
Estou aqui.,I am here.
John.,John.
Até logo.,See you later.
Espere um minuto.,Wait a minute.
Pode deixar.,It can leave.
Não se mexa.,Do not move.
Eu sabia.,I knew.
Cala a boca!,Shut up!
É sério.,It is serious.
"Sim, senhora.",Yes ma'am.
Sei lá.,Whatnot.
Aqui vamos nós.,Here we go.
Eu estou bem.,I am fine.
Eu prometo.,I promise.
Capitão.,Captain.
Relaxe.,Relax.
Incrível.,Incredible.
Puta merda!,Holy crap!
Silêncio!,Silence!
Ali.,There.
Aí está.,Here it is.
Posso?,Can I?
Onde ela está?,Where is she?
Não é verdade.,Is not true.
Nem eu.,Me neither.
Anda.,Walk.
Isso é ótimo.,That is great.
Assim.,Like this.
Fora!,Outside!
Eu só...,I just...
Corra!,Run!
Mexam-se!,Move!
Espere aí.,Wait.
"Obrigado, senhor.",Thank you sir.
De novo.,Again.
É você?,And you?
Sem problemas.,No problem.
Porque?,Why?
Dois.,Two.
"Ah, não.",Oh no.
Abra.,Open it.
Ele está bem.,He is fine.
Jesus Cristo!,Jesus Christ!
Pegue.,Take it.
Deixe-me ver.,Let me see.
Tudo certo.,All very well.
Filho da puta!,Son of a bitch!
Muito.,Very.
Três.,Three.
De verdade.,In truth.
Prometo.,Promise.
Ele...,He...
Pessoal!,Guys!
Entende?,He understands?
Vamos ver.,We will see.
Polícia!,Police!
Nós?,Us?
Tenho.,I have.
Aonde vai?,Where are you going?
Confie em mim.,Trust in me.
Foi.,He was.
O que disse?,What did you say?
Vem cá.,Come here.
Boa.,Good.
Isso aí.,That's right.
Um momento.,One moment.
Eu não entendo.,I don't understand.
Que foi?,What it was?
Querido.,Dear.
Michael.,Michael.
Lamento.,Am sorry.
Isso é tudo.,That is all.
Devagar.,Slowly.
Você acha?,You think?
"Não, obrigada.","No, thank you."
Senhora.,Madam.
Eu não posso.,I can't.
Tá bom.,It's OK.
Venham.,Come.
Temos que ir.,We have to go.
Sabe de uma coisa?,You know what?
Mr.,Mr.
Preciso ir.,Need to go.
Vamos sair daqui.,Let's get out of here.
Sr.,Mr.
Câmbio.,Exchange.
"Ah, é?",Oh yes?
Acorde!,Wake up!
Abra a porta!,Open the door!
O que quer?,What you want?
Doutor!,Doctor!
Não pode ser.,It can not be.
Hmm.,Hmm.
Você está certo.,You are sure.
O que vai fazer?,What are you going to do?
Correto.,Correct.
O que você disse?,What did you say?
Um pouco.,A little.
Atenção!,Attention!
Concordo.,I agree.
Ela está bem.,She is fine.
Charlie.,Charlie.
Quem é ele?,Who is he?
Já.,Already.
David!,David!
E depois?,And then?
Que pena.,What a shame.
Ajude-me.,Help me.
Ele está morto.,He is dead.
Quanto?,How much?
Tá.,OK.
Do que você está falando?,What are you talking about?
Que?,What?
"Sim, senhor!",Yes sir!
Fique aqui.,Stay here.
Vai ficar tudo bem.,Everything will be fine.
Consegui.,I achieved.
Mais ou menos.,More or less.
Volte!,Come back!
Não é nada.,Is nothing.
\alpha0)\p1}!,\ alpha0) \ p1}!
star[math.random(3)]!,Star [Math.Random (3)]!
O que ele disse?,What did he say?
Está vendo?,See?
"Um, dois, três.",One two three.
Fantástico.,Fantastic.
Você não entende.,You do not understand.
Inacreditável.,Unbelievable.
Vem.,He comes.
Isso é loucura.,This is crazy.
Saiam!,Get out!
Entendido?,Understood?
O que você está fazendo aqui?,What are you doing here?
Fala sério.,Speaks seriously.
Que diabos?,What the hell?
Diga-me.,Tell me.
Eu juro.,I swear.
Certamente.,Certainly.
Não mesmo.,Not even.
Tanto faz.,Whatever.
Não consigo.,I am unable.
Sobre o quê?,About what?
Sem problema.,No problem.
Valeu.,It cost.
Vamos nessa.,Here we go.
"Não, não é.","No, it's not."
Está pronto?,Is ready?
Como você sabe?,How do you know?
O que isso significa?,What does that mean?
Frank.,Frank.
Como foi?,How it was?
O que está dizendo?,What are you saying?
Qual?,Which?
"Espere, espere.","Wait, wait."
Mentira.,Lie.
Como sabe?,As you know?
Chefe.,Boss.
Isso é ridículo.,This is ridiculous.
O que você quer dizer?,What do you mean?
Qual é o seu nome?,What is your name?
"Não, tudo bem.",Not alright.
Pode ser.,Could it be.
Afaste-se!,Move away!
"Certo, certo.","Right, right."
Não estou.,I'm not.
Isso é...,That's it...
Conseguimos.,We achieved.
Tenha cuidado.,Take care.
Peter.,Peter.
Não muito.,Not a lot.
Mike.,Mike.
Alex!,Alex!
"Não, por favor.","No, please."
Ela...,She...
Entrem.,Enter.
Boa tarde.,Good afternoon.
Tom.,Tone.
Já volto.,I will be back in a moment.
Aonde você vai?,Where are you going?
Não é isso.,It's not that.
Impossível.,Impossible.
Que merda!,Crap!
Qualquer coisa.,Anything.
Espero que sim.,I hope so.
Que horas são?,What time is it?
Eu acho.,I think.
É sim.,And yes.
Você consegue.,You can.
Huh?,Huh?
Ben.,Ben.
Que droga!,What the hell!
Fale.,Speak.
Interessante.,Interesting.
Corram!,Run!
Finalmente.,Finally.
Como se sente?,How it feels?
Algum problema?,Some problem?
O que vamos fazer?,What do we do?
Que ótimo.,Excellent.
Amanhã.,Tomorrow.
Eu sei disso.,I know that.
Afastem-se!,Move away!
O que estão fazendo?,What are they doing?
Ele está aqui.,He is here.
Toma.,Take.
Não precisa.,It is not necessary.
Mexa-se!,Move yourself!
Vê?,See?
Sempre.,Ever.
Não tenho certeza.,I am not sure.
Pode ir.,Can go.
Te amo.,I love you.
Quem sabe?,Who knows?
Não mais.,No more.
Bravo!,Angry!
"Por favor, não.",Please do not.
É lindo.,It's beautiful.
Quem está aí?,Who's there?
Lá vamos nós.,Here we go.
Harry!,Harry!
Está me ouvindo?,Are you listening to me?
Espera aí.,Wait a second.
Solte-me!,Let me go!
Pelo amor de Deus!,For God's sake!
Não posso fazer isso.,I can not do this.
Para onde?,Where?
Eu amo você.,I love you.
Sou.,I am.
Agora não.,Not now.
Você vai ficar bem.,You'll be fine.
Olha só.,Just look.
Me ajude!,Help me!
É incrível.,It's amazing.
Como se chama?,What is your name?
"Oh, merda.","Oh, shit."
Não tem problema.,No problem.
O que há?,What's?
Max!,Max!
Ai!,There!
Aí está você.,There you are.
Isso é verdade.,That is true.
Para!,For!
Sarah.,Sarah.
Está bom.,It is good.
"Na verdade, não.",In truth no.
Peguei.,I got.
Hã?,There is?
Está falando sério?,Are you serious?
Quero.,I want.
Quero dizer...,What I mean to say...
Bem aqui.,Right here.
Prazer em conhecê-lo.,Pleasure to meet you.
Vem aqui.,Come here.
Esquece.,He forgets.
Está louco?,Are you crazy?
Realmente?,Really?
Feliz Natal.,Merry Christmas.
Eu sou.,I am.
Eu tenho que ir.,I gotta go.
Basta!,Enough!
Você está louco?,You are crazy?
É que...,Is that...
Oh meu Deus!,Oh my God!
E eu?,And me?
Alguém?,Somebody?
Sem chance.,No way.
Quem é esse?,Who is he?
Faça.,Do.
Que porra é essa?,What the hell is that?
Filho da mãe!,Motherfucker!
É isso mesmo.,That's right.
George.,George.
Qual é o seu problema?,What is your problem?
Que seja.,Whatever.
Joe!,Joe!
Hum...,Hmm...
Abaixe-se!,Get down!
Maravilhoso.,Wonderful.
Paul.,Paul.
Maravilha.,Wonder.
Não me importo.,I'm not bothered.
Precisamos conversar.,We need to talk.
"Eu sei, eu sei.",I know I know.
Não exatamente.,Not exactly.
"Ai, meu Deus.",Oh my God.
"Ah, meu Deus.",Oh my God.
Ande!,Walk!
Posso ajudar?,Can I help you?
Quieto!,Still!
"Não, espere.",Do not wait.
Eu quero.,I want.
Estamos bem.,We are fine.
"Oi, querida.",Hey my dear.
Não pode.,It cannot.
Parado!,Stopped!
Uh...,Uh ...
Você não.,You don't.
Quase.,Almost.
Não sei do que está falando.,I do not know what you're talking about.
Você é...,You are...
Henry.,Henry.
Estou vendo.,I am seeing.
Próximo.,Next.
Você entendeu?,You understood?
Não diga isso.,Do not say that.
Quatro.,Four.
Já vou.,I'm going.
Que tal?,What about?
Você conseguiu.,You did it.
Hein?,Huh?
Não tenha medo.,Do not be afraid.
Amor.,Love.
Nick.,Nick.
Não faço ideia.,I have no idea.
Como o quê?,Like what?
Onde você vai?,Where are you going?
Jake!,Jake!
Surpresa!,Surprise!
"Sim, é.",Yes it is.
Desculpem.,Sorry.
Muito prazer.,Great pleasure.
Está aqui.,This one.
Só...,Only...
Onde estamos?,Where are we?
O que há de errado?,What is wrong?
Onde você estava?,Where were you?
Puxa!,Wow!
Jane.,Jane.
Absolutamente.,Absolutely.
O que é aquilo?,What is that?
Mais rápido!,Faster!
O quê...,What...
Já sei.,I already know.
Andem!,Walk!
Quem é ela?,Who is she?
Quanto tempo?,How much time?
Responda.,Reply.
Vire-se.,Turn around.
Como ele está?,How is he?
Estou tentando.,I am trying.
Volte aqui!,Come back here!
Deixa comigo.,I got it.
Lembra?,Remember?
Espere aqui.,Wait here.
Estranho.,Strange.
Divirta-se.,Have a good time.
Cuide-se.,Take care.
Isso não é verdade.,This is not true.
O que mais?,What else?
"Tudo bem, tudo bem.","Okay, okay."
Não me toque!,Do not touch me!
É impossível.,It's impossible.
Feliz aniversário.,Happy birthday.
Jimmy!,Jimmy!
O que isso quer dizer?,What does that mean?
O que está acontecendo aqui?,What's going on here?
De acordo.,Accordingly.
Vá se foder!,Go fuck!
Eu disse.,I said.
Você tem certeza?,Are you sure?
Espere um segundo.,Wait a second.
Não quero.,I don't want.
Cinco.,Five.
Você está brincando?,You are kidding?
Impressionante.,Impressive.
Pelo quê?,Whereby?
Hei!,Hei!
Água.,Water.
Levante.,Raise.
Feito.,Done.
Posso entrar?,I can enter?
"Sim, estou.",Yes I am.
Tenente.,Lieutenant.
O que faremos?,What will we do?
Não é justo.,Is not fair.
Que legal.,Cool.
"Não, não, não, não.",No no no no.
Isso é incrível.,This is amazing.
Tenha um bom dia.,Have a good day.
Essa não.,Not this one.
James.,James.
Eu não sabia.,I didn't know.
Pode.,He can.
Jim.,Jim.
É ela.,It's her.
Prazer.,Pleasure.
"Não, estou bem.",I am not well.
Provavelmente.,Probably.
Não faz sentido.,Does not make sense.
"Vai, vai, vai!",Go! Go! Go!
Não está.,It is not.
Você está certa.,You are right.
Perdoe-me.,Forgive me.
Lá.,There.
Gostou?,Did you like it?
Eu cuido disso.,I take care of it.
Muito engraçado.,Very funny.
Tá legal.,It's cool.
O que ele está fazendo?,What he is doing?
Sim senhor.,Yes sir.
"Sim, por favor.",Yes please.
O que você vai fazer?,What will you do?
Aah!,Aah!
Eu já volto.,I'll be right back.
Respire.,Breathe.
Não vou.,I am not going.
Foi um acidente.,It was an accident.
Você sabe disso.,You know it.
"É, eu sei.","Yeah, I know."
Sem dúvida.,Undoubtedly.
Will!,Will!
Só um minuto.,Just a minute.
Eu tenho.,I have.
"Sim, estou bem.",Yes I am well.
Veremos.,We'll see.
Lindo.,Beautiful.
Todos.,All.
Agora mesmo.,Right now.
Escuta.,Listening.
Hoje.,Today.
"Oi, pessoal.",Hey guys.
"Vai, vai!",Go Go!
Que diabos é isso?,What the hell is this?
Bom garoto.,Good boy.
Engraçado.,Funny.
Nada mal.,Not bad.
Veja isso.,Look this.
Você tem razão.,You are right.
Atire!,Shoot!
Tony.,Tony.
"Não, claro que não.",No of course not.
Anna.,Anna.
A sério?,Seriously?
Negativo.,Negative.
Eu estou.,I am.
Porque não?,Why not?
Nenhum.,None.
Não é possível.,It's not possible.
Corta!,Cut!
Não vá.,Do not go.
Caralho!,Fuck!
Danny!,Danny!
Olhem!,Look!
Posso ajudá-lo?,May I help you?
"Não, eu...",Not me...
É aqui.,Is here.
Fique aí.,Stay there.
Desgraçado!,Bastard!
Anteriormente...,Previously...
É bom.,It is good.
Você não sabe?,You do not know?
A Srta.,The Miss.
Não se preocupe com isso.,Don't worry about that.
Por que fez isso?,Why did it?
Vou.,I go.
"Sim, obrigado.",Yes thanks.
Não fui eu.,It was not me.
Limpo.,Clean.
É possível.,It's possible.
Alto!,High!
Está morto.,Is dead.
Claire.,Claire.
Prontos?,Ready?
Pronta?,Ready?
Pense nisso.,Think about it.
Quem era?,Who was?
Nem pensar.,No way.
Dinheiro.,Money.
Vejamos.,Let's see.
Irmão!,Brother!
Pára!,For!
Como sabe disso?,How do you know that?
O que eu fiz?,What did I do?
Não acredito nisso.,I do not believe this.
Você entende?,You understand?
Cai fora!,Get out!
Qual o seu nome?,What is your name?
Besteira.,Nonsense.
"Ei, ei!",Hey Hey!
Steve.,Steve.
Mary.,Mary.
Dane-se.,Damn.
Lá está ele.,There he is.
Onde estou?,Where am I?
Você está...,You are...
Fechado.,Closed.
Talvez não.,Maybe not.
Mais alguma coisa?,Anything else?
Isto.,This.
Siga-me.,Follow me.
Estou falando sério.,I'm serious.
Como ela está?,How is she?
Até amanhã.,See you tomorrow.
Era.,It was.
"É, sim.",And yes.
O que você tem?,What's wrong with you?
Relaxa.,Relax.
Mais.,More.
O que há com você?,What's the matter with you?
Vamos começar.,Let's start.
Faça isso.,Do it.
Sargento.,Sergeant.
Olha isso.,Look at this.
Está com fome?,Are you hungry?
Quem são vocês?,Who are you?
Shh.,SHH.
Vamos logo.,Let's go.
Você vai?,You are going?
Deixe-me em paz.,Leave me alone.
Combinado.,Combined.
Gostei.,I liked.
Kate.,Kate.
Não entendi.,I didn't understand.
Bem-vindo.,Welcome.
Eu não vou.,I am not going.
Chris.,Chris.
Vejam!,See!
Senhores.,Sirs.
Funcionou.,It worked.
Sentem-se.,Feel.
Adam.,Adam.
Estou brincando.,I am joking.
Pois não?,May I help?
Como quiser.,As you wish.
Não podemos.,We can not.
Quem se importa?,Who cares?
Estou com medo.,I am scared.
"Oi, mãe.",Hi Mom.
Nem um pouco.,Not even a little.
Café?,Coffee?
É importante.,Is important.
Amo você.,I love you.
Não pode fazer isso.,You can't do that.
Santo Deus!,Oh my God!
Billy!,Billy!
Bingo.,Bingo.
De quem?,From who?
Alguma coisa?,Something?
FBI!,FBI!
Deixe-me ir!,Let me go!
"Sim, Senhor.",Yes sir.
Isso não é bom.,This is not good.
Prazer em conhecê-la.,Nice to meet you.
Como você.,Like you.
Linda.,Beautiful.
Ouviu isso?,Did you hear that?
Parece bom.,It seems good.
Eu vi.,I saw.
Melhor.,Better.
Daniel.,Daniel.
Corre!,Run!
Ouviu?,He heard?
Igualmente.,Equally.
Chegamos.,We arrived.
Tenho certeza.,I am sure.
Tome cuidado.,Be careful.
Não é da sua conta.,It's none of your business.
Isso é impossível.,This is impossible.
Não me diga.,Do not tell me.
Tarde demais.,Too late.
"Sim, mas...",Yes but...
Vai dar tudo certo.,Everything will be fine.
Você me ouviu?,Did you hear me?
Escutem.,Listen.
Parece que sim.,It seems so.
Rachel.,Rachel.
Não se mova.,Do not move.
Fique quieto.,Stay quiet.
Olhe para você.,Look at you.
Faz sentido.,It makes sense.
Eu não quero.,I don't want.
"Sim, é claro.",Yes of course.
Está pronta?,Is ready?
Ele está certo.,He is right.
Meu filho.,My son.
Que estranho.,That's weird.
Eu te disse.,I told you.
Abaixem-se!,Bend!
Para você.,For you.
Não foi nada.,It was nothing.
Foi mal.,It went badly.
Viva!,Alive!
Fique longe de mim!,Stay away from me!
Ele se foi.,He is gone.
Eu não fiz nada.,I did nothing.
Saiam daqui!,Get out of here!
Saia daí!,Get out of there!
Vamos fazer isso.,Lets do this.
Você quer?,You want?
Walter.,Walter.
Bill.,Bill.
Acredite.,Believe.
Não atire!,Do not shot!
Olhe isso.,Look at that.
"Oi, pai.",Hi Dad.
Fale comigo.,Talk to me.
"Não, está tudo bem.",It is not alright.
Eu acho que não.,I don't think so.
Para mim?,For me?
Te peguei.,I caught you.
Vamos para casa.,Let's go home.
Parem com isso!,Stop it!
Foi você?,Was you?
"Sim, tudo bem.","Yes, that's fine."
Bobby!,Bobby!
Para sempre.,Forever.
Mark.,Mark.
Bobagem.,Nonsense.
Boa ideia.,Good idea.
Sabia?,You knew?
Deixe-me adivinhar.,Let me guess.
Suba.,Climb.
Você viu?,Did you see?
Entenderam?,Did you understand?
Whoa!,Whoa!
Como está indo?,How is it going?
Ooh!,OOH!
Um minuto.,One minute.
Você o conhece?,Do you know him?
Mas?,But?
É só isso?,That's it?
"Ei, cara.",Hey dude.
Vá para casa.,Go home.
Ray!,Ray!
Seis.,Six.
Como está se sentindo?,How are you feeling?
Mate-o!,Kill him!
Cristo!,Christ!
Tommy.,Tommy.
Matt!,Matt!
Me solta!,Let me go!
"Ei, você!",Hey you!
Me solte!,Let me go!
Mentiroso!,Liar!
Meu pai.,My father.
Entre no carro.,Get in the car.
Johnny!,Johnny!
Fique à vontade.,Feel free.
Mais uma vez.,Once again.
Mestre!,Teacher!
Senhorita.,Miss.
Amy!,Amy!
Dê uma olhada.,Take a look.
O que quer que eu faça?,What do you want me to do?
O que significa?,What it means?
Nenhuma.,None.
Não sabemos.,We do not know.
No chão!,In floor!
Você não pode.,You can not.
Não brinca.,Do not play.
Adorei.,I loved.
Tem alguém aí?,Is there anyone there?
Conseguiu?,It achieved?
Eu não me importo.,I don't mind.
Quem diabos é você?,Who the hell are you?
Preciso falar com você.,Need to talk to you.
Por nada.,You're welcome.
Está ótimo.,It's great.
Richard.,Richard.
Emily.,Emily.
Sai!,Leaves!
Vá lá.,Go there.
Ouça-me.,Listen to me.
Ouçam.,Listen.
O que devo fazer?,What should I do?
Alice.,Alice.
Fui eu.,It was me.
Estou ouvindo.,I'm listening.
Achei.,I thought.
Vai se foder!,He is going to screw it up!
Eu gosto.,I like.
Sigam-me.,Follow me.
Nada disso.,None of that.
"Por favor, sente-se.",Please sit down.
Então é isso?,Then that's it?
sim.,Yes.
Feche a porta.,Close the door.
Apenas...,Just...
Eu também te amo.,I love you too.
Mas que diabos?,What the hell?
Professor?,Teacher?
Juro.,Interest.
Vamos entrar.,Lets go in.
Eu também não.,Me either.
Kevin!,Kevin!
Errado.,Wrong.
Estamos prontos.,We are ready.
Bob.,Bob.
Tente.,Try.
Demais.,Too much.
Beba.,Drink it.
Coronel.,Colonel.
Tudo vai ficar bem.,Everything will be fine.
Não me lembro.,I do not remember.
O que temos aqui?,What do we have here?
Sabe por quê?,Do you know why?
Claro que é.,Course is.
Morto.,Dead.
É estranho.,Is weird.
Clark.,Clark.
Por que está fazendo isso?,Why are you doing this?
Por que eu?,Because I?
Quer dizer...,To mean...
O que ela disse?,What she said?
Precisa de ajuda?,Need help?
"Sim, certo.",Yes right.
Eu não acredito.,I don't believe.
Você está linda.,You look beautiful.
Só um segundo.,Just a second.
Mmm.,Mmm.
Por que está aqui?,Why are you here?
Às vezes.,Sometimes.
"Não, não está.","No, it's not."
Você vem?,You come?
Isso é estranho.,This is weird.
Temos um problema.,We have a problem.
Amigos?,Friends?
Está na hora.,It's time.
Bem ali.,Right there.
Algo mais?,Anything else?
Ela está morta.,She is dead.
O que eu faço?,What do I do?
Ryan.,Ryan.
Um segundo.,One second.
Mm-hmm.,Mm-hmm.
Tá certo.,It's true.
Que é isso?,What's that?
O que aconteceu com você?,What happened to you?
"Um, dois...",One two...
Eu tentei.,I tried.
Tem?,He has?
Quem são eles?,Who are they?
Ele está vivo.,He is alive.
Aonde está indo?,Where are you going?
Escute-me.,Listen me.
Largue a arma!,Drop the gun!
De fato.,In fact.
O que foi aquilo?,What was that?
Promete?,Promise?
Sete.,Seven.
Entra.,Goes into.
De quê?,Of what?
"Certo, tudo bem.",Okay fine.
Estou pronto.,I'm ready.
Na verdade...,In truth...
Estou dentro.,I'm in.
Wow.,Wow.
Levanta!,Get up!
Quer?,He wants?
Eu adoraria.,I would love.
Temos que sair daqui.,We have to get out of here.
Aonde vamos?,Where will we go?
Deixa pra lá.,Leave it there.
Annie.,Annie.
Por ali.,Over there.
Eu posso.,I can.
Calado!,Shut up!
Seu idiota!,You fool!
Eu entendi.,I understood.
Continuem.,Continue.
"Qual é, cara.",What's up man.
Lucy!,Lucy!
Rapazes!,Boys!
Me escute.,Listen to me.
"Ei, pessoal.","Hey, guys."
Deixe comigo.,Leave it to me.
Eric.,Eric.
Acredite em mim.,Believe me.
Estava.,He was.
Mas por quê?,But why?
Eu estou aqui.,I am here.
Não foi?,It was not?
É tudo.,And it all.
"Vamos, cara.",Let's go man.
O que significa isso?,What does that mean?
Coma.,With the.
"Certo, vamos.","Okay, let's go."
Não atirem!,Don't shoot!
Protesto.,Protest.
Pode apostar.,You bet.
Comandante.,Commander.
Obrigado por vir.,Thank you for coming.
Céus!,Heavens!
Sozinho.,Alone.
Estou com fome.,I am hungry.
O que se passa?,What is up?
"Sim, sim, sim.",Yes Yes Yes.
"Calma, calma.",Calm calm.
Não estou entendendo.,I don't understand.
Onde estava?,Where were you?
Brilhante.,Bright.
"Olá, querida.",Hello dear.
O que quer dizer com isso?,What do you mean by that?
Você e eu.,You and I.
Vou embora.,I'm leaving.
O que posso dizer?,What can I say?
Pegue-o!,Pick it!
Eddie.,Eddie.
Opa!,Oops!
Saiam da frente!,Get out the front!
Sabe disso.,Know this.
Não sei o que dizer.,I do not know what to say.
Que surpresa.,What a surprise.
"Desculpe, senhor.",Sorry sir.
Emma.,Emma.
Ele morreu.,He died.
Onde eles estão?,Where are they?
Estou a caminho.,I am on my way.
Onde está indo?,Where are you going?
Carl.,Carl.
Eu estava...,I was...
Não vai.,Will not.
Que está fazendo?,What are you doing?
Ela está aqui.,She is here.
Imediatamente.,Immediately.
Do quê?,Than?
Boa idéia.,Good idea.
É complicado.,It is complicated.
"Não, ainda não.",No not yet.
"Não, não estou.","No, I'm not."
Não posso acreditar.,I can not believe.
"Está bem, está bem.","Okay, okay."
Acho.,I think.
Com quem?,With whom?
Minha mãe.,My mom.
Alguém me ajude!,Somebody help me!
Onde está ele?,Where is he?
Está brincando comigo?,You are kidding with me?
Aqui estamos.,Here we are.
Divirtam-se.,Have fun.
Falo sério.,I'm serious.
